"region";"måned";"statistikkvariabel";"03616: Hotell og liknande overnattingsbedrifter. Kapasitetsutnytting og pris per rom, etter region, måned og statistikkvariabel"
"01 Østfold";"1994M04";"Kapasitetsutnytting av rom (prosent)";48,9
"01 Østfold";"1994M04";"Pris per rom (kr)";545
"01 Østfold";"1994M05";"Kapasitetsutnytting av senger (prosent)";25,4
"01 Østfold";"1994M05";"Kapasitetsutnytting av rom (prosent)";39,7
"01 Østfold";"1994M05";"Pris per rom (kr)";524
"01 Østfold";"1994M06";"Kapasitetsutnytting av senger (prosent)";38,1
"01 Østfold";"1994M06";"Kapasitetsutnytting av rom (prosent)";54,8
"01 Østfold";"1994M06";"Pris per rom (kr)";542
"01 Østfold";"1994M07";"Kapasitetsutnytting av senger (prosent)";35,4
"01 Østfold";"1994M07";"Kapasitetsutnytting av rom (prosent)";38,2
"01 Østfold";"1994M07";"Pris per rom (kr)";513
"01 Østfold";"1994M08";"Kapasitetsutnytting av senger (prosent)";37,9
"01 Østfold";"1994M08";"Kapasitetsutnytting av rom (prosent)";52,2
"01 Østfold";"1994M08";"Pris per rom (kr)";526
"01 Østfold";"1994M09";"Kapasitetsutnytting av senger (prosent)";30,8
"01 Østfold";"1994M09";"Kapasitetsutnytting av rom (prosent)";46,8
"01 Østfold";"1994M09";"Pris per rom (kr)";564
"01 Østfold";"1994M10";"Kapasitetsutnytting av senger (prosent)";29,7
"01 Østfold";"1994M10";"Kapasitetsutnytting av rom (prosent)";48
"01 Østfold";"1994M10";"Pris per rom (kr)";543
"01 Østfold";"1994M11";"Kapasitetsutnytting av senger (prosent)";28,2
"01 Østfold";"1994M11";"Kapasitetsutnytting av rom (prosent)";45,2
"01 Østfold";"1994M11";"Pris per rom (kr)";579
"01 Østfold";"1994M12";"Kapasitetsutnytting av senger (prosent)";22,3
"01 Østfold";"1994M12";"Kapasitetsutnytting av rom (prosent)";32,6
"01 Østfold";"1994M12";"Pris per rom (kr)";577
"01 Østfold";"1995M01";"Kapasitetsutnytting av senger (prosent)";23
"01 Østfold";"1995M01";"Kapasitetsutnytting av rom (prosent)";32,7
"01 Østfold";"1995M01";"Pris per rom (kr)";606
"01 Østfold";"1995M02";"Kapasitetsutnytting av senger (prosent)";37,4
"01 Østfold";"1995M02";"Kapasitetsutnytting av rom (prosent)";48,2
"01 Østfold";"1995M02";"Pris per rom (kr)";651
"01 Østfold";"1995M03";"Kapasitetsutnytting av senger (prosent)";36,9
"01 Østfold";"1995M03";"Kapasitetsutnytting av rom (prosent)";54,2
"01 Østfold";"1995M03";"Pris per rom (kr)";604
"01 Østfold";"1995M04";"Kapasitetsutnytting av senger (prosent)";24,1
"01 Østfold";"1995M04";"Kapasitetsutnytting av rom (prosent)";35
"01 Østfold";"1995M04";"Pris per rom (kr)";563
"01 Østfold";"1995M05";"Kapasitetsutnytting av senger (prosent)";30,2
"01 Østfold";"1995M05";"Kapasitetsutnytting av rom (prosent)";43,1
"01 Østfold";"1995M05";"Pris per rom (kr)";585
"01 Østfold";"1995M06";"Kapasitetsutnytting av senger (prosent)";46,4
"01 Østfold";"1995M06";"Kapasitetsutnytting av rom (prosent)";59,2
"01 Østfold";"1995M06";"Pris per rom (kr)";549
"01 Østfold";"1995M07";"Kapasitetsutnytting av senger (prosent)";39,3
"01 Østfold";"1995M07";"Kapasitetsutnytting av rom (prosent)";39,2
"01 Østfold";"1995M07";"Pris per rom (kr)";480
"01 Østfold";"1995M08";"Kapasitetsutnytting av senger (prosent)";48,1
"01 Østfold";"1995M08";"Kapasitetsutnytting av rom (prosent)";57,1
"01 Østfold";"1995M08";"Pris per rom (kr)";532
"01 Østfold";"1995M09";"Kapasitetsutnytting av senger (prosent)";36,4
"01 Østfold";"1995M09";"Kapasitetsutnytting av rom (prosent)";47,9
"01 Østfold";"1995M09";"Pris per rom (kr)";615
"01 Østfold";"1995M10";"Kapasitetsutnytting av senger (prosent)";29,6
